ID,Category,Label
0,Beach / Ocean / Coast,a busy ocean full of people
1,Beach / Ocean / Coast,a peaceful surf near the cliff
2,Beach / Ocean / Coast,people relaxing at the ocean
3,Beach / Ocean / Coast,a busy ocean full of people
4,Beach / Ocean / Coast,a photographer capturing the cliff
5,Beach / Ocean / Coast,a busy sunset full of people
6,Beach / Ocean / Coast,a scenic boats at dawn
7,Beach / Ocean / Coast,a sand with colorful lights
8,Beach / Ocean / Coast,an evening at the beach
9,Beach / Ocean / Coast,a misty morning at the ocean
10,Beach / Ocean / Coast,a photographer capturing the waves
11,Beach / Ocean / Coast,a lighthouse by the boats
12,Beach / Ocean / Coast,a harbor by the surf
13,Beach / Ocean / Coast,a waves with colorful lights
14,Beach / Ocean / Coast,a sunset view over the waves
15,Beach / Ocean / Coast,a couple walking near the seaside
16,Beach / Ocean / Coast,a busy boats full of people
17,Beach / Ocean / Coast,a waves by the boats
18,Beach / Ocean / Coast,an evening at the surf
19,Beach / Ocean / Coast,locals gathering at the seaside
20,Beach / Ocean / Coast,a cozy pier beside the beach
21,Beach / Ocean / Coast,a sunset reflected in water
22,Beach / Ocean / Coast,a sunset view over the lighthouse
23,Beach / Ocean / Coast,a island with colorful lights
24,Beach / Ocean / Coast,a misty morning at the surf
25,Beach / Ocean / Coast,a cozy island beside the waves
26,Beach / Ocean / Coast,a busy pier full of people
27,Beach / Ocean / Coast,a night view of the shore
28,Beach / Ocean / Coast,a tourist visiting the sand
29,Beach / Ocean / Coast,a misty morning at the seaside
30,Beach / Ocean / Coast,a couple walking near the lighthouse
31,Beach / Ocean / Coast,a quiet ocean during sunset
32,Beach / Ocean / Coast,a peaceful pier near the island
33,Beach / Ocean / Coast,a coast surrounded by cliff
34,Beach / Ocean / Coast,a tourist visiting the beach
35,Beach / Ocean / Coast,a busy ocean full of people
36,Beach / Ocean / Coast,a photographer capturing the cliff
37,Beach / Ocean / Coast,a night view of the seaside
38,Beach / Ocean / Coast,a coast reflected in water
39,Beach / Ocean / Coast,people relaxing at the pier
40,Beach / Ocean / Coast,children playing near the coast
41,Beach / Ocean / Coast,a harbor surrounded by beach
42,Beach / Ocean / Coast,people relaxing at the island
43,Beach / Ocean / Coast,a night view of the surf
44,Beach / Ocean / Coast,a seaside reflected in water
45,Beach / Ocean / Coast,a couple walking near the sunset
46,Beach / Ocean / Coast,a beautiful waves under the sky
47,Beach / Ocean / Coast,a quiet surf during sunset
48,Beach / Ocean / Coast,a scenic shore at dawn
49,Beach / Ocean / Coast,a quiet coast during sunset
50,Beach / Ocean / Coast,a sunset with colorful lights
51,Beach / Ocean / Coast,locals gathering at the beach
52,Beach / Ocean / Coast,a scenic shore at dawn
53,Beach / Ocean / Coast,a sand with colorful lights
54,Beach / Ocean / Coast,a night view of the beach
55,Beach / Ocean / Coast,a tourist visiting the shore
56,Beach / Ocean / Coast,a misty morning at the pier
57,Beach / Ocean / Coast,a night view of the surf
58,Beach / Ocean / Coast,a seaside by the waves
59,Beach / Ocean / Coast,children playing near the ocean
60,Mountain / Forest / Nature,a beautiful river under the sky
61,Mountain / Forest / Nature,an evening at the peak
62,Mountain / Forest / Nature,a valley surrounded by hill
63,Mountain / Forest / Nature,a peaceful wildflowers near the valley
64,Mountain / Forest / Nature,people relaxing at the sunrise
65,Mountain / Forest / Nature,a peaceful path near the wildflowers
66,Mountain / Forest / Nature,a beautiful stream under the sky
67,Mountain / Forest / Nature,a peak with colorful lights
68,Mountain / Forest / Nature,a photographer capturing the path
69,Mountain / Forest / Nature,locals gathering at the wildflowers
70,Mountain / Forest / Nature,an evening at the trail
71,Mountain / Forest / Nature,a cozy camp beside the lake
72,Mountain / Forest / Nature,people relaxing at the path
73,Mountain / Forest / Nature,locals gathering at the valley
74,Mountain / Forest / Nature,a trail reflected in water
75,Mountain / Forest / Nature,a sunrise with colorful lights
76,Mountain / Forest / Nature,a tourist visiting the trail
77,Mountain / Forest / Nature,a beautiful path under the sky
78,Mountain / Forest / Nature,people relaxing at the hill
79,Mountain / Forest / Nature,a river by the valley
80,Mountain / Forest / Nature,a cozy forest beside the mountain
81,Mountain / Forest / Nature,a stream with colorful lights
82,Mountain / Forest / Nature,a scenic forest at dawn
83,Mountain / Forest / Nature,a sunset view over the sunrise
84,Mountain / Forest / Nature,a cozy sunrise beside the lake
85,Mountain / Forest / Nature,a wildflowers with colorful lights
86,Mountain / Forest / Nature,a scenic river at dawn
87,Mountain / Forest / Nature,a path with colorful lights
88,Mountain / Forest / Nature,a quiet cabin during sunset
89,Mountain / Forest / Nature,a photographer capturing the valley
90,Mountain / Forest / Nature,a quiet forest during sunset
91,Mountain / Forest / Nature,a cozy hill beside the trees
92,Mountain / Forest / Nature,a peak by the trail
93,Mountain / Forest / Nature,a path by the stream
94,Mountain / Forest / Nature,locals gathering at the valley
95,Mountain / Forest / Nature,a peaceful trees near the peak
96,Mountain / Forest / Nature,a night view of the trees
97,Mountain / Forest / Nature,people relaxing at the wildflowers
98,Mountain / Forest / Nature,a scenic sunrise at dawn
99,Mountain / Forest / Nature,a stream by the peak
100,Mountain / Forest / Nature,an evening at the forest
101,Mountain / Forest / Nature,a photographer capturing the hill
102,Mountain / Forest / Nature,a valley reflected in water
103,Mountain / Forest / Nature,locals gathering at the valley
104,Mountain / Forest / Nature,a busy trees full of people
105,Mountain / Forest / Nature,a quiet peak during sunset
106,Mountain / Forest / Nature,a cabin by the wildflowers
107,Mountain / Forest / Nature,a night view of the river
108,Mountain / Forest / Nature,an evening at the cabin
109,Mountain / Forest / Nature,children playing near the valley
110,Mountain / Forest / Nature,a peak with colorful lights
111,Mountain / Forest / Nature,a tourist visiting the forest
112,Mountain / Forest / Nature,a photographer capturing the trees
113,Mountain / Forest / Nature,a tourist visiting the cabin
114,Mountain / Forest / Nature,a scenic peak at dawn
115,Mountain / Forest / Nature,a river with colorful lights
116,Mountain / Forest / Nature,a busy cabin full of people
117,Mountain / Forest / Nature,a misty morning at the peak
118,Mountain / Forest / Nature,a sunset view over the cabin
119,Mountain / Forest / Nature,a peaceful forest near the peak
120,City / Urban Scene,people relaxing at the crosswalk
121,City / Urban Scene,a photographer capturing the train
122,City / Urban Scene,people relaxing at the downtown
123,City / Urban Scene,a tourist visiting the city
124,City / Urban Scene,children playing near the downtown
125,City / Urban Scene,a quiet plaza during sunset
126,City / Urban Scene,a beautiful crosswalk under the sky
127,City / Urban Scene,a misty morning at the neon
128,City / Urban Scene,a plaza with colorful lights
129,City / Urban Scene,people relaxing at the train
130,City / Urban Scene,a downtown surrounded by plaza
131,City / Urban Scene,people relaxing at the train
132,City / Urban Scene,a tourist visiting the city
133,City / Urban Scene,a cozy plaza beside the downtown
134,City / Urban Scene,a bridge with colorful lights
135,City / Urban Scene,a misty morning at the city
136,City / Urban Scene,a couple walking near the plaza
137,City / Urban Scene,a misty morning at the bridge
138,City / Urban Scene,a neon with colorful lights
139,City / Urban Scene,a quiet buildings during sunset
140,City / Urban Scene,a misty morning at the crosswalk
141,City / Urban Scene,a tourist visiting the market
142,City / Urban Scene,a couple walking near the bridge
143,City / Urban Scene,a downtown with colorful lights
144,City / Urban Scene,a crosswalk by the market
145,City / Urban Scene,an evening at the train
146,City / Urban Scene,a cozy plaza beside the street
147,City / Urban Scene,people relaxing at the crosswalk
148,City / Urban Scene,a photographer capturing the buildings
149,City / Urban Scene,a couple walking near the downtown
150,Landmarks / Architecture,locals gathering at the monument
151,Landmarks / Architecture,a busy monument full of people
152,Landmarks / Architecture,a night view of the tower
153,Landmarks / Architecture,people relaxing at the castle
154,Landmarks / Architecture,a busy pagoda full of people
155,Landmarks / Architecture,a gate reflected in water
156,Landmarks / Architecture,an evening at the temple
157,Landmarks / Architecture,a monument reflected in water
158,Landmarks / Architecture,a beautiful palace under the sky
159,Landmarks / Architecture,a gate by the pagoda
160,Landmarks / Architecture,a busy pagoda full of people
161,Landmarks / Architecture,a tower reflected in water
162,Landmarks / Architecture,children playing near the tower
163,Landmarks / Architecture,a beautiful monument under the sky
164,Landmarks / Architecture,a cozy tower beside the gate
165,Landmarks / Architecture,a quiet monument during sunset
166,Landmarks / Architecture,a gate reflected in water
167,Landmarks / Architecture,locals gathering at the museum
168,Landmarks / Architecture,people relaxing at the pagoda
169,Landmarks / Architecture,a misty morning at the palace
170,Landmarks / Architecture,a quiet palace during sunset
171,Landmarks / Architecture,a beautiful museum under the sky
172,Landmarks / Architecture,a couple walking near the palace
173,Landmarks / Architecture,a monument with colorful lights
174,Landmarks / Architecture,a bridge reflected in water
175,Landmarks / Architecture,a night view of the palace
176,Landmarks / Architecture,a couple walking near the bridge
177,Landmarks / Architecture,children playing near the palace
178,Landmarks / Architecture,a tourist visiting the museum
179,Landmarks / Architecture,a night view of the pagoda
180,Parks / Gardens,a quiet flowers during sunset
181,Parks / Gardens,a scenic garden at dawn
182,Parks / Gardens,a beautiful garden under the sky
183,Parks / Gardens,a fountain by the pond
184,Parks / Gardens,children playing near the park
185,Parks / Gardens,a trees reflected in water
186,Parks / Gardens,a photographer capturing the playground
187,Parks / Gardens,a peaceful path near the trees
188,Parks / Gardens,a bench reflected in water
189,Parks / Gardens,a lake with colorful lights
190,Parks / Gardens,an evening at the playground
191,Parks / Gardens,a garden surrounded by path
192,Parks / Gardens,a busy playground full of people
193,Parks / Gardens,a trees reflected in water
194,Parks / Gardens,a tourist visiting the trees
195,Parks / Gardens,an evening at the path
196,Parks / Gardens,a fountain by the path
197,Parks / Gardens,a scenic garden at dawn
198,Parks / Gardens,people relaxing at the lake
199,Parks / Gardens,a peaceful fountain near the playground
200,Parks / Gardens,a fountain by the path
201,Parks / Gardens,a garden surrounded by fountain
202,Parks / Gardens,children playing near the bench
203,Parks / Gardens,a fountain surrounded by garden
204,Parks / Gardens,a trees with colorful lights
205,Parks / Gardens,a flowers surrounded by garden
206,Parks / Gardens,a flowers with colorful lights
207,Parks / Gardens,an evening at the lake
208,Parks / Gardens,a night view of the garden
209,Parks / Gardens,a misty morning at the bench
210,Food / Cafe / Market,a bakery by the fruit
211,Food / Cafe / Market,a sunset view over the sushi
212,Food / Cafe / Market,an evening at the bar
213,Food / Cafe / Market,a beautiful tea under the sky
214,Food / Cafe / Market,an evening at the tea
215,Food / Cafe / Market,children playing near the tea
216,Food / Cafe / Market,a photographer capturing the cafe
217,Food / Cafe / Market,an evening at the street food
218,Food / Cafe / Market,a scenic kitchen at dawn
219,Food / Cafe / Market,a misty morning at the sushi
220,Food / Cafe / Market,people relaxing at the restaurant
221,Food / Cafe / Market,a drink by the restaurant
222,Food / Cafe / Market,a cozy drink beside the market
223,Food / Cafe / Market,a bar by the sushi
224,Food / Cafe / Market,a barbecue with colorful lights
225,Food / Cafe / Market,a tea surrounded by market
226,Food / Cafe / Market,a bistro surrounded by bar
227,Food / Cafe / Market,children playing near the bistro
228,Food / Cafe / Market,children playing near the restaurant
229,Food / Cafe / Market,locals gathering at the bakery
230,Food / Cafe / Market,a night view of the fruit
231,Food / Cafe / Market,a dessert surrounded by barbecue
232,Food / Cafe / Market,a quiet cafe during sunset
233,Food / Cafe / Market,a barbecue by the bistro
234,Food / Cafe / Market,a couple walking near the cafe
235,Food / Cafe / Market,a sunset view over the coffee
236,Food / Cafe / Market,a quiet barbecue during sunset
237,Food / Cafe / Market,a peaceful bar near the bistro
238,Food / Cafe / Market,an evening at the dessert
239,Food / Cafe / Market,children playing near the street food
240,Food / Cafe / Market,a couple walking near the street food
241,Food / Cafe / Market,a photographer capturing the fruit
242,Food / Cafe / Market,a market reflected in water
243,Food / Cafe / Market,a misty morning at the coffee
244,Food / Cafe / Market,a busy dessert full of people
245,Food / Cafe / Market,a tourist visiting the barbecue
246,Food / Cafe / Market,an evening at the bar
247,Food / Cafe / Market,a couple walking near the sushi
248,Food / Cafe / Market,people relaxing at the tea
249,Food / Cafe / Market,a beautiful bakery under the sky
250,Food / Cafe / Market,a fruit reflected in water
251,Food / Cafe / Market,locals gathering at the cafe
252,Food / Cafe / Market,a sunset view over the sushi
253,Food / Cafe / Market,a peaceful street food near the dessert
254,Food / Cafe / Market,a night view of the bar
255,Food / Cafe / Market,a tourist visiting the coffee
256,Food / Cafe / Market,a cozy restaurant beside the sushi
257,Food / Cafe / Market,a dessert with colorful lights
258,Food / Cafe / Market,a drink reflected in water
259,Food / Cafe / Market,a beautiful street food under the sky
260,Food / Cafe / Market,people relaxing at the cafe
261,Food / Cafe / Market,a bistro reflected in water
262,Food / Cafe / Market,children playing near the restaurant
263,Food / Cafe / Market,a couple walking near the coffee
264,Food / Cafe / Market,a night view of the bistro
265,Food / Cafe / Market,a tourist visiting the bar
266,Food / Cafe / Market,a tourist visiting the market
267,Food / Cafe / Market,a bakery reflected in water
268,Food / Cafe / Market,people relaxing at the dessert
269,Food / Cafe / Market,a bar with colorful lights
270,Festival / Event / Culture,people relaxing at the concert
271,Festival / Event / Culture,an evening at the festival
272,Festival / Event / Culture,a beautiful dance under the sky
273,Festival / Event / Culture,a peaceful dance near the fireworks
274,Festival / Event / Culture,a fireworks surrounded by parade
275,Festival / Event / Culture,a scenic festival at dawn
276,Festival / Event / Culture,a cozy lights beside the parade
277,Festival / Event / Culture,a cozy lanterns beside the festival
278,Festival / Event / Culture,a cozy lights beside the concert
279,Festival / Event / Culture,an evening at the concert
280,Festival / Event / Culture,people relaxing at the performance
281,Festival / Event / Culture,a night view of the celebration
282,Festival / Event / Culture,a quiet dance during sunset
283,Festival / Event / Culture,a sunset view over the parade
284,Festival / Event / Culture,a sunset view over the crowd
285,Festival / Event / Culture,a cozy festival beside the parade
286,Festival / Event / Culture,a busy celebration full of people
287,Festival / Event / Culture,a performance by the celebration
288,Festival / Event / Culture,an evening at the lights
289,Festival / Event / Culture,locals gathering at the celebration
290,Festival / Event / Culture,an evening at the lanterns
291,Festival / Event / Culture,a peaceful concert near the celebration
292,Festival / Event / Culture,a tourist visiting the parade
293,Festival / Event / Culture,a tourist visiting the crowd
294,Festival / Event / Culture,a night view of the crowd
295,Festival / Event / Culture,children playing near the fireworks
296,Festival / Event / Culture,a photographer capturing the parade
297,Festival / Event / Culture,a performance reflected in water
298,Festival / Event / Culture,a sunset view over the crowd
299,Festival / Event / Culture,a photographer capturing the fireworks
300,Scenic / Emotion / Vibe,a misty morning at the stars
301,Scenic / Emotion / Vibe,a peaceful autumn near the sky
302,Scenic / Emotion / Vibe,a sky with colorful lights
303,Scenic / Emotion / Vibe,a photographer capturing the sky
304,Scenic / Emotion / Vibe,a misty morning at the reflection
305,Scenic / Emotion / Vibe,a scenic sky at dawn
306,Scenic / Emotion / Vibe,a busy rain full of people
307,Scenic / Emotion / Vibe,an evening at the winter
308,Scenic / Emotion / Vibe,people relaxing at the river
309,Scenic / Emotion / Vibe,a night view of the fog
310,Scenic / Emotion / Vibe,children playing near the autumn
311,Scenic / Emotion / Vibe,a quiet sky during sunset
312,Scenic / Emotion / Vibe,an evening at the sky
313,Scenic / Emotion / Vibe,a quiet sunset during sunset
314,Scenic / Emotion / Vibe,people relaxing at the fog
315,Scenic / Emotion / Vibe,a reflection surrounded by sky
316,Scenic / Emotion / Vibe,a winter surrounded by mountain
317,Scenic / Emotion / Vibe,a tourist visiting the stars
318,Scenic / Emotion / Vibe,a busy rain full of people
319,Scenic / Emotion / Vibe,a sunset view over the winter
320,Scenic / Emotion / Vibe,a peaceful fog near the sunset
321,Scenic / Emotion / Vibe,a quiet winter during sunset
322,Scenic / Emotion / Vibe,a beautiful fog under the sky
323,Scenic / Emotion / Vibe,children playing near the rain
324,Scenic / Emotion / Vibe,children playing near the winter
325,Scenic / Emotion / Vibe,people relaxing at the river
326,Scenic / Emotion / Vibe,a misty morning at the stars
327,Scenic / Emotion / Vibe,a busy reflection full of people
328,Scenic / Emotion / Vibe,locals gathering at the river
329,Scenic / Emotion / Vibe,a quiet reflection during sunset
330,Travel / Activity,a beautiful exploring under the sky
331,Travel / Activity,a tourist visiting the hiking
332,Travel / Activity,children playing near the car
333,Travel / Activity,a photographer capturing the cycling
334,Travel / Activity,a cozy cycling beside the car
335,Travel / Activity,a tourist visiting the camping
336,Travel / Activity,a camping reflected in water
337,Travel / Activity,a busy photography full of people
338,Travel / Activity,a peaceful exploring near the cycling
339,Travel / Activity,people relaxing at the camping
340,Travel / Activity,a sunset view over the photography
341,Travel / Activity,people relaxing at the walking
342,Travel / Activity,a couple walking near the photography
343,Travel / Activity,a photographer capturing the map
344,Travel / Activity,a scenic bus stop at dawn
345,Travel / Activity,children playing near the camping
346,Travel / Activity,a couple walking near the exploring
347,Travel / Activity,a peaceful camping near the bus stop
348,Travel / Activity,a exploring by the travelers
349,Travel / Activity,a walking reflected in water
350,Travel / Activity,a exploring surrounded by photography
351,Travel / Activity,a beautiful hiking under the sky
352,Travel / Activity,a night view of the travelers
353,Travel / Activity,locals gathering at the walking
354,Travel / Activity,a couple walking near the map
355,Travel / Activity,a photographer capturing the exploring
356,Travel / Activity,a photographer capturing the exploring
357,Travel / Activity,an evening at the exploring
358,Travel / Activity,a tourist visiting the photography
359,Travel / Activity,locals gathering at the walking
360,Accommodation / Relaxation,people relaxing at the hammock
361,Accommodation / Relaxation,a tourist visiting the cafe
362,Accommodation / Relaxation,a tourist visiting the cottage
363,Accommodation / Relaxation,a tourist visiting the hammock
364,Accommodation / Relaxation,a misty morning at the guesthouse
365,Accommodation / Relaxation,a quiet bonfire during sunset
366,Accommodation / Relaxation,a beautiful resort under the sky
367,Accommodation / Relaxation,a couple walking near the bar
368,Accommodation / Relaxation,a beautiful guesthouse under the sky
369,Accommodation / Relaxation,a cozy hotel beside the bar
370,Accommodation / Relaxation,a sunset view over the cafe
371,Accommodation / Relaxation,a peaceful tent near the resort
372,Accommodation / Relaxation,a couple walking near the bar
373,Accommodation / Relaxation,a tourist visiting the tent
374,Accommodation / Relaxation,locals gathering at the cabin
375,Accommodation / Relaxation,a tourist visiting the hotel
376,Accommodation / Relaxation,children playing near the bar
377,Accommodation / Relaxation,a tent with colorful lights
378,Accommodation / Relaxation,locals gathering at the resort
379,Accommodation / Relaxation,a beautiful guesthouse under the sky
380,Accommodation / Relaxation,people relaxing at the tent
381,Accommodation / Relaxation,people relaxing at the bonfire
382,Accommodation / Relaxation,a couple walking near the tent
383,Accommodation / Relaxation,a sunset view over the cafe
384,Accommodation / Relaxation,a scenic bonfire at dawn
385,Accommodation / Relaxation,a photographer capturing the bar
386,Accommodation / Relaxation,a couple walking near the resort
387,Accommodation / Relaxation,a photographer capturing the hotel
388,Accommodation / Relaxation,a photographer capturing the cafe
389,Accommodation / Relaxation,a couple walking near the cabin
